plan_id,title,calories,tags,ingredients,instructions
118,shrimp + barley + bell peppers & broccoli,444,"Low Fat, Mediterranean","shrimp, barley, bell peppers, broccoli, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the bell peppers and broccoli. Combine all and season with olive oil, salt, and pepper."
119,shrimp + barley + zucchini & kale,456,"Low Fat, Mediterranean","shrimp, barley, zucchini, kale, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the zucchini and kale. Combine all and season with olive oil, salt, and pepper."
120,shrimp + oats + carrots & spinach,415,"Mediterranean, Plant-Based","shrimp, oats, carrots, spinach, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
121,eggs + sweet potato + carrots & bell peppers,491,"Low Carb, Low Fat","eggs, sweet potato, carrots, bell peppers, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
122,turkey + barley + cauliflower & zucchini,348,"Mediterranean, High Protein","turkey, barley, cauliflower, zucchini, olive oil, salt, pepper","Cook the turkey and barley separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
123,lentils + sweet potato + broccoli & cauliflower,387,"Low Carb, High Protein","lentils, sweet potato, broccoli, cauliflower, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
124,eggs + quinoa + carrots & kale,542,"Plant-Based, Low Fat","eggs, quinoa, carrots, kale, olive oil, salt, pepper","Cook the eggs and quinoa separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
125,eggs + sweet potato + spinach & zucchini,494,"Plant-Based, Mediterranean","eggs, sweet potato, spinach, zucchini, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the spinach and zucchini. Combine all and season with olive oil, salt, and pepper."
126,lentils + sweet potato + broccoli & zucchini,460,"High Protein, Low Fat","lentils, sweet potato, broccoli, zucchini, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the broccoli and zucchini. Combine all and season with olive oil, salt, and pepper."
127,salmon + quinoa + carrots & bell peppers,548,"Plant-Based, Low Carb","salmon, quinoa, carrots, bell peppers, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
128,lentils + brown rice + zucchini & cauliflower,547,"Mediterranean, Low Fat","lentils, brown rice, zucchini, cauliflower, olive oil, salt, pepper","Cook the lentils and brown rice separately. Sauté the zucchini and cauliflower. Combine all and season with olive oil, salt, and pepper."
129,tofu + quinoa + broccoli & zucchini,488,"Low Carb, Mediterranean","tofu, quinoa, broccoli, zucchini, olive oil, salt, pepper","Cook the tofu and quinoa separately. Sauté the broccoli and zucchini. Combine all and season with olive oil, salt, and pepper."
130,lentils + oats + kale & bell peppers,458,"Low Fat, Plant-Based","lentils, oats, kale, bell peppers, olive oil, salt, pepper","Cook the lentils and oats separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
131,turkey + brown rice + zucchini & cauliflower,434,"Low Carb, Mediterranean","turkey, brown rice, zucchini, cauliflower, olive oil, salt, pepper","Cook the turkey and brown rice separately. Sauté the zucchini and cauliflower. Combine all and season with olive oil, salt, and pepper."
132,turkey + quinoa + cauliflower & bell peppers,392,"High Protein, Mediterranean","turkey, quinoa, cauliflower, bell peppers, olive oil, salt, pepper","Cook the turkey and quinoa separately. Sauté the cauliflower and bell peppers. Combine all and season with olive oil, salt, and pepper."
133,eggs + barley + kale & carrots,388,"Plant-Based, Low Carb","eggs, barley, kale, carrots, olive oil, salt, pepper","Cook the eggs and barley separately. Sauté the kale and carrots. Combine all and season with olive oil, salt, and pepper."
134,chicken breast + oats + carrots & kale,523,"Plant-Based, Low Fat","chicken breast, oats, carrots, kale, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
135,tofu + brown rice + cauliflower & broccoli,488,"High Protein, Low Fat","tofu, brown rice, cauliflower, broccoli, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
136,tofu + whole wheat pasta + bell peppers & broccoli,320,"High Protein, Low Fat","tofu, whole wheat pasta, bell peppers, broccoli, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the bell peppers and broccoli. Combine all and season with olive oil, salt, and pepper."
137,shrimp + oats + bell peppers & kale,327,"High Protein, Plant-Based","shrimp, oats, bell peppers, kale, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the bell peppers and kale. Combine all and season with olive oil, salt, and pepper."
138,tofu + whole wheat pasta + broccoli & bell peppers,458,"Mediterranean, Low Fat","tofu, whole wheat pasta, broccoli, bell peppers, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the broccoli and bell peppers. Combine all and season with olive oil, salt, and pepper."
139,salmon + quinoa + spinach & broccoli,434,"Plant-Based, Mediterranean","salmon, quinoa, spinach, broccoli, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
140,lentils + sweet potato + broccoli & kale,417,"High Protein, Plant-Based","lentils, sweet potato, broccoli, kale, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the broccoli and kale. Combine all and season with olive oil, salt, and pepper."
141,lentils + oats + carrots & spinach,523,"Mediterranean, High Protein","lentils, oats, carrots, spinach, olive oil, salt, pepper","Cook the lentils and oats separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
142,turkey + oats + spinach & broccoli,434,"Mediterranean, Low Carb","turkey, oats, spinach, broccoli, olive oil, salt, pepper","Cook the turkey and oats separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
143,tofu + quinoa + carrots & bell peppers,433,"Low Carb, Mediterranean","tofu, quinoa, carrots, bell peppers, olive oil, salt, pepper","Cook the tofu and quinoa separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
144,shrimp + barley + broccoli & spinach,412,"Plant-Based, Low Fat","shrimp, barley, broccoli, spinach, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
145,salmon + brown rice + zucchini & broccoli,494,"Mediterranean, Low Carb","salmon, brown rice, zucchini, broccoli, olive oil, salt, pepper","Cook the salmon and brown rice separately. Sauté the zucchini and broccoli. Combine all and season with olive oil, salt, and pepper."
146,eggs + brown rice + kale & zucchini,496,"High Protein, Mediterranean","eggs, brown rice, kale, zucchini, olive oil, salt, pepper","Cook the eggs and brown rice separately. Sauté the kale and zucchini. Combine all and season with olive oil, salt, and pepper."
147,salmon + sweet potato + spinach & kale,320,"Low Fat, High Protein","salmon, sweet potato, spinach, kale, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
148,shrimp + sweet potato + zucchini & broccoli,497,"Low Carb, High Protein","shrimp, sweet potato, zucchini, broccoli, olive oil, salt, pepper","Cook the shrimp and sweet potato separately. Sauté the zucchini and broccoli. Combine all and season with olive oil, salt, and pepper."
149,salmon + whole wheat pasta + broccoli & cauliflower,423,"Mediterranean, High Protein","salmon, whole wheat pasta, broccoli, cauliflower, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
150,shrimp + whole wheat pasta + zucchini & bell peppers,487,"Low Fat, Plant-Based","shrimp, whole wheat pasta, zucchini, bell peppers, olive oil, salt, pepper","Cook the shrimp and whole wheat pasta separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
151,chicken breast + brown rice + broccoli & cauliflower,370,"Low Carb, High Protein","chicken breast, brown rice, broccoli, cauliflower, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the broccoli and cauliflower. Combine all and season with olive oil, salt, and pepper."
152,chicken breast + oats + cauliflower & zucchini,400,"Low Fat, Mediterranean","chicken breast, oats, cauliflower, zucchini, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
153,chicken breast + barley + kale & broccoli,327,"Mediterranean, Plant-Based","chicken breast, barley, kale, broccoli, olive oil, salt, pepper","Cook the chicken breast and barley separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
154,chicken breast + barley + carrots & spinach,307,"High Protein, Plant-Based","chicken breast, barley, carrots, spinach, olive oil, salt, pepper","Cook the chicken breast and barley separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
155,salmon + sweet potato + carrots & zucchini,534,"Mediterranean, Plant-Based","salmon, sweet potato, carrots, zucchini, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the carrots and zucchini. Combine all and season with olive oil, salt, and pepper."
156,lentils + quinoa + kale & spinach,446,"High Protein, Low Carb","lentils, quinoa, kale, spinach, olive oil, salt, pepper","Cook the lentils and quinoa separately. Sauté the kale and spinach. Combine all and season with olive oil, salt, and pepper."
157,shrimp + oats + kale & spinach,339,"Low Fat, Plant-Based","shrimp, oats, kale, spinach, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the kale and spinach. Combine all and season with olive oil, salt, and pepper."
158,tofu + whole wheat pasta + kale & broccoli,532,"High Protein, Plant-Based","tofu, whole wheat pasta, kale, broccoli, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
159,chicken breast + barley + cauliflower & broccoli,443,"Mediterranean, Low Fat","chicken breast, barley, cauliflower, broccoli, olive oil, salt, pepper","Cook the chicken breast and barley separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
160,shrimp + brown rice + bell peppers & spinach,517,"Low Carb, High Protein","shrimp, brown rice, bell peppers, spinach, olive oil, salt, pepper","Cook the shrimp and brown rice separately. Sauté the bell peppers and spinach. Combine all and season with olive oil, salt, and pepper."
161,salmon + brown rice + bell peppers & carrots,321,"Plant-Based, Mediterranean","salmon, brown rice, bell peppers, carrots, olive oil, salt, pepper","Cook the salmon and brown rice separately. Sauté the bell peppers and carrots. Combine all and season with olive oil, salt, and pepper."
162,tofu + brown rice + zucchini & carrots,543,"Low Fat, Mediterranean","tofu, brown rice, zucchini, carrots, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
163,chicken breast + brown rice + bell peppers & zucchini,356,"Plant-Based, Low Fat","chicken breast, brown rice, bell peppers, zucchini, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the bell peppers and zucchini. Combine all and season with olive oil, salt, and pepper."
164,salmon + sweet potato + zucchini & bell peppers,329,"Low Fat, Plant-Based","salmon, sweet potato, zucchini, bell peppers, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
165,eggs + barley + spinach & cauliflower,525,"Mediterranean, Plant-Based","eggs, barley, spinach, cauliflower, olive oil, salt, pepper","Cook the eggs and barley separately. Sauté the spinach and cauliflower. Combine all and season with olive oil, salt, and pepper."
166,salmon + oats + spinach & kale,311,"Low Carb, Mediterranean","salmon, oats, spinach, kale, olive oil, salt, pepper","Cook the salmon and oats separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
167,turkey + sweet potato + bell peppers & broccoli,325,"Plant-Based, Low Fat","turkey, sweet potato, bell peppers, broccoli, olive oil, salt, pepper","Cook the turkey and sweet potato separately. Sauté the bell peppers and broccoli. Combine all and season with olive oil, salt, and pepper."
168,turkey + oats + spinach & broccoli,349,"Plant-Based, Low Carb","turkey, oats, spinach, broccoli, olive oil, salt, pepper","Cook the turkey and oats separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
169,tofu + quinoa + zucchini & carrots,378,"High Protein, Low Carb","tofu, quinoa, zucchini, carrots, olive oil, salt, pepper","Cook the tofu and quinoa separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
170,eggs + whole wheat pasta + carrots & broccoli,547,"High Protein, Mediterranean","eggs, whole wheat pasta, carrots, broccoli, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
171,chicken breast + whole wheat pasta + kale & bell peppers,385,"Plant-Based, Mediterranean","chicken breast, whole wheat pasta, kale, bell peppers, olive oil, salt, pepper","Cook the chicken breast and whole wheat pasta separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
172,eggs + whole wheat pasta + carrots & broccoli,345,"High Protein, Low Fat","eggs, whole wheat pasta, carrots, broccoli, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
173,tofu + oats + kale & carrots,314,"Low Fat, High Protein","tofu, oats, kale, carrots, olive oil, salt, pepper","Cook the tofu and oats separately. Sauté the kale and carrots. Combine all and season with olive oil, salt, and pepper."
174,turkey + barley + bell peppers & cauliflower,456,"Plant-Based, High Protein","turkey, barley, bell peppers, cauliflower, olive oil, salt, pepper","Cook the turkey and barley separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
175,shrimp + sweet potato + kale & bell peppers,403,"Plant-Based, Mediterranean","shrimp, sweet potato, kale, bell peppers, olive oil, salt, pepper","Cook the shrimp and sweet potato separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
176,eggs + quinoa + spinach & kale,318,"Plant-Based, Mediterranean","eggs, quinoa, spinach, kale, olive oil, salt, pepper","Cook the eggs and quinoa separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
177,chicken breast + brown rice + carrots & kale,375,"Low Fat, Low Carb","chicken breast, brown rice, carrots, kale, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the carrots and kale. Combine all and season with olive oil, salt, and pepper."
178,eggs + barley + bell peppers & cauliflower,460,"Plant-Based, Mediterranean","eggs, barley, bell peppers, cauliflower, olive oil, salt, pepper","Cook the eggs and barley separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
179,tofu + whole wheat pasta + kale & zucchini,469,"Low Fat, High Protein","tofu, whole wheat pasta, kale, zucchini, olive oil, salt, pepper","Cook the tofu and whole wheat pasta separately. Sauté the kale and zucchini. Combine all and season with olive oil, salt, and pepper."
180,eggs + brown rice + cauliflower & spinach,548,"Low Carb, Plant-Based","eggs, brown rice, cauliflower, spinach, olive oil, salt, pepper","Cook the eggs and brown rice separately. Sauté the cauliflower and spinach. Combine all and season with olive oil, salt, and pepper."
181,salmon + whole wheat pasta + kale & zucchini,455,"Plant-Based, High Protein","salmon, whole wheat pasta, kale, zucchini, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the kale and zucchini. Combine all and season with olive oil, salt, and pepper."
182,eggs + whole wheat pasta + spinach & bell peppers,414,"Mediterranean, Plant-Based","eggs, whole wheat pasta, spinach, bell peppers, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the spinach and bell peppers. Combine all and season with olive oil, salt, and pepper."
183,lentils + whole wheat pasta + cauliflower & zucchini,360,"High Protein, Plant-Based","lentils, whole wheat pasta, cauliflower, zucchini, olive oil, salt, pepper","Cook the lentils and whole wheat pasta separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
184,eggs + quinoa + bell peppers & cauliflower,303,"Low Carb, Low Fat","eggs, quinoa, bell peppers, cauliflower, olive oil, salt, pepper","Cook the eggs and quinoa separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
185,shrimp + brown rice + kale & zucchini,481,"Low Fat, High Protein","shrimp, brown rice, kale, zucchini, olive oil, salt, pepper","Cook the shrimp and brown rice separately. Sauté the kale and zucchini. Combine all and season with olive oil, salt, and pepper."
186,salmon + whole wheat pasta + cauliflower & bell peppers,460,"Mediterranean, High Protein","salmon, whole wheat pasta, cauliflower, bell peppers, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the cauliflower and bell peppers. Combine all and season with olive oil, salt, and pepper."
187,chicken breast + whole wheat pasta + broccoli & zucchini,311,"Plant-Based, Low Fat","chicken breast, whole wheat pasta, broccoli, zucchini, olive oil, salt, pepper","Cook the chicken breast and whole wheat pasta separately. Sauté the broccoli and zucchini. Combine all and season with olive oil, salt, and pepper."
188,turkey + whole wheat pasta + broccoli & spinach,385,"High Protein, Mediterranean","turkey, whole wheat pasta, broccoli, spinach, olive oil, salt, pepper","Cook the turkey and whole wheat pasta separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
189,chicken breast + brown rice + carrots & broccoli,541,"Mediterranean, Low Fat","chicken breast, brown rice, carrots, broccoli, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
190,lentils + brown rice + bell peppers & kale,540,"Low Fat, Plant-Based","lentils, brown rice, bell peppers, kale, olive oil, salt, pepper","Cook the lentils and brown rice separately. Sauté the bell peppers and kale. Combine all and season with olive oil, salt, and pepper."
191,shrimp + barley + spinach & broccoli,414,"Low Carb, Low Fat","shrimp, barley, spinach, broccoli, olive oil, salt, pepper","Cook the shrimp and barley separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
192,chicken breast + quinoa + spinach & cauliflower,327,"Low Fat, Low Carb","chicken breast, quinoa, spinach, cauliflower, olive oil, salt, pepper","Cook the chicken breast and quinoa separately. Sauté the spinach and cauliflower. Combine all and season with olive oil, salt, and pepper."
193,lentils + sweet potato + zucchini & spinach,438,"Low Carb, Mediterranean","lentils, sweet potato, zucchini, spinach, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
194,lentils + quinoa + bell peppers & zucchini,466,"Plant-Based, High Protein","lentils, quinoa, bell peppers, zucchini, olive oil, salt, pepper","Cook the lentils and quinoa separately. Sauté the bell peppers and zucchini. Combine all and season with olive oil, salt, and pepper."
195,salmon + oats + zucchini & carrots,317,"Mediterranean, Low Carb","salmon, oats, zucchini, carrots, olive oil, salt, pepper","Cook the salmon and oats separately. Sauté the zucchini and carrots. Combine all and season with olive oil, salt, and pepper."
196,chicken breast + whole wheat pasta + broccoli & zucchini,436,"High Protein, Low Carb","chicken breast, whole wheat pasta, broccoli, zucchini, olive oil, salt, pepper","Cook the chicken breast and whole wheat pasta separately. Sauté the broccoli and zucchini. Combine all and season with olive oil, salt, and pepper."
197,shrimp + quinoa + broccoli & spinach,480,"Mediterranean, Low Fat","shrimp, quinoa, broccoli, spinach, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
198,salmon + quinoa + zucchini & cauliflower,305,"Low Carb, High Protein","salmon, quinoa, zucchini, cauliflower, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the zucchini and cauliflower. Combine all and season with olive oil, salt, and pepper."
199,turkey + whole wheat pasta + zucchini & bell peppers,430,"High Protein, Mediterranean","turkey, whole wheat pasta, zucchini, bell peppers, olive oil, salt, pepper","Cook the turkey and whole wheat pasta separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
200,lentils + whole wheat pasta + cauliflower & bell peppers,335,"High Protein, Low Carb","lentils, whole wheat pasta, cauliflower, bell peppers, olive oil, salt, pepper","Cook the lentils and whole wheat pasta separately. Sauté the cauliflower and bell peppers. Combine all and season with olive oil, salt, and pepper."
201,turkey + whole wheat pasta + spinach & broccoli,337,"Low Carb, Plant-Based","turkey, whole wheat pasta, spinach, broccoli, olive oil, salt, pepper","Cook the turkey and whole wheat pasta separately. Sauté the spinach and broccoli. Combine all and season with olive oil, salt, and pepper."
202,turkey + quinoa + kale & bell peppers,301,"High Protein, Low Carb","turkey, quinoa, kale, bell peppers, olive oil, salt, pepper","Cook the turkey and quinoa separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
203,salmon + quinoa + cauliflower & broccoli,378,"Plant-Based, Low Fat","salmon, quinoa, cauliflower, broccoli, olive oil, salt, pepper","Cook the salmon and quinoa separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
204,salmon + sweet potato + cauliflower & kale,546,"Plant-Based, Low Carb","salmon, sweet potato, cauliflower, kale, olive oil, salt, pepper","Cook the salmon and sweet potato separately. Sauté the cauliflower and kale. Combine all and season with olive oil, salt, and pepper."
205,shrimp + oats + cauliflower & zucchini,492,"Plant-Based, Low Carb","shrimp, oats, cauliflower, zucchini, olive oil, salt, pepper","Cook the shrimp and oats separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
206,chicken breast + quinoa + spinach & carrots,393,"Plant-Based, High Protein","chicken breast, quinoa, spinach, carrots, olive oil, salt, pepper","Cook the chicken breast and quinoa separately. Sauté the spinach and carrots. Combine all and season with olive oil, salt, and pepper."
207,eggs + barley + bell peppers & spinach,508,"Mediterranean, High Protein","eggs, barley, bell peppers, spinach, olive oil, salt, pepper","Cook the eggs and barley separately. Sauté the bell peppers and spinach. Combine all and season with olive oil, salt, and pepper."
208,lentils + whole wheat pasta + kale & cauliflower,416,"Low Carb, Plant-Based","lentils, whole wheat pasta, kale, cauliflower, olive oil, salt, pepper","Cook the lentils and whole wheat pasta separately. Sauté the kale and cauliflower. Combine all and season with olive oil, salt, and pepper."
209,chicken breast + whole wheat pasta + cauliflower & carrots,374,"Low Carb, Mediterranean","chicken breast, whole wheat pasta, cauliflower, carrots, olive oil, salt, pepper","Cook the chicken breast and whole wheat pasta separately. Sauté the cauliflower and carrots. Combine all and season with olive oil, salt, and pepper."
210,lentils + sweet potato + kale & broccoli,438,"Low Fat, Low Carb","lentils, sweet potato, kale, broccoli, olive oil, salt, pepper","Cook the lentils and sweet potato separately. Sauté the kale and broccoli. Combine all and season with olive oil, salt, and pepper."
211,lentils + whole wheat pasta + spinach & bell peppers,447,"High Protein, Low Carb","lentils, whole wheat pasta, spinach, bell peppers, olive oil, salt, pepper","Cook the lentils and whole wheat pasta separately. Sauté the spinach and bell peppers. Combine all and season with olive oil, salt, and pepper."
212,eggs + sweet potato + bell peppers & cauliflower,524,"Low Carb, High Protein","eggs, sweet potato, bell peppers, cauliflower, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the bell peppers and cauliflower. Combine all and season with olive oil, salt, and pepper."
213,tofu + barley + kale & carrots,419,"Plant-Based, Mediterranean","tofu, barley, kale, carrots, olive oil, salt, pepper","Cook the tofu and barley separately. Sauté the kale and carrots. Combine all and season with olive oil, salt, and pepper."
214,eggs + whole wheat pasta + zucchini & spinach,498,"Low Carb, Mediterranean","eggs, whole wheat pasta, zucchini, spinach, olive oil, salt, pepper","Cook the eggs and whole wheat pasta separately. Sauté the zucchini and spinach. Combine all and season with olive oil, salt, and pepper."
215,tofu + brown rice + kale & cauliflower,550,"Mediterranean, Low Fat","tofu, brown rice, kale, cauliflower, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the kale and cauliflower. Combine all and season with olive oil, salt, and pepper."
216,eggs + oats + kale & cauliflower,485,"Plant-Based, Mediterranean","eggs, oats, kale, cauliflower, olive oil, salt, pepper","Cook the eggs and oats separately. Sauté the kale and cauliflower. Combine all and season with olive oil, salt, and pepper."
217,chicken breast + brown rice + spinach & cauliflower,354,"Mediterranean, Plant-Based","chicken breast, brown rice, spinach, cauliflower, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the spinach and cauliflower. Combine all and season with olive oil, salt, and pepper."
218,eggs + sweet potato + cauliflower & zucchini,508,"Low Carb, High Protein","eggs, sweet potato, cauliflower, zucchini, olive oil, salt, pepper","Cook the eggs and sweet potato separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
219,tofu + oats + zucchini & bell peppers,528,"Low Fat, High Protein","tofu, oats, zucchini, bell peppers, olive oil, salt, pepper","Cook the tofu and oats separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
220,eggs + oats + bell peppers & carrots,525,"Plant-Based, Mediterranean","eggs, oats, bell peppers, carrots, olive oil, salt, pepper","Cook the eggs and oats separately. Sauté the bell peppers and carrots. Combine all and season with olive oil, salt, and pepper."
221,salmon + brown rice + carrots & broccoli,320,"Low Carb, High Protein","salmon, brown rice, carrots, broccoli, olive oil, salt, pepper","Cook the salmon and brown rice separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
222,eggs + brown rice + carrots & broccoli,440,"Mediterranean, Low Fat","eggs, brown rice, carrots, broccoli, olive oil, salt, pepper","Cook the eggs and brown rice separately. Sauté the carrots and broccoli. Combine all and season with olive oil, salt, and pepper."
223,shrimp + sweet potato + broccoli & zucchini,492,"Low Fat, Plant-Based","shrimp, sweet potato, broccoli, zucchini, olive oil, salt, pepper","Cook the shrimp and sweet potato separately. Sauté the broccoli and zucchini. Combine all and season with olive oil, salt, and pepper."
224,tofu + oats + kale & spinach,398,"High Protein, Plant-Based","tofu, oats, kale, spinach, olive oil, salt, pepper","Cook the tofu and oats separately. Sauté the kale and spinach. Combine all and season with olive oil, salt, and pepper."
225,salmon + oats + cauliflower & zucchini,321,"Low Fat, Low Carb","salmon, oats, cauliflower, zucchini, olive oil, salt, pepper","Cook the salmon and oats separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
226,tofu + brown rice + zucchini & bell peppers,341,"Low Carb, Mediterranean","tofu, brown rice, zucchini, bell peppers, olive oil, salt, pepper","Cook the tofu and brown rice separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
227,turkey + quinoa + kale & bell peppers,312,"Low Fat, Plant-Based","turkey, quinoa, kale, bell peppers, olive oil, salt, pepper","Cook the turkey and quinoa separately. Sauté the kale and bell peppers. Combine all and season with olive oil, salt, and pepper."
228,eggs + brown rice + carrots & bell peppers,457,"High Protein, Mediterranean","eggs, brown rice, carrots, bell peppers, olive oil, salt, pepper","Cook the eggs and brown rice separately. Sauté the carrots and bell peppers. Combine all and season with olive oil, salt, and pepper."
229,tofu + sweet potato + spinach & kale,426,"Plant-Based, Mediterranean","tofu, sweet potato, spinach, kale, olive oil, salt, pepper","Cook the tofu and sweet potato separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
230,chicken breast + oats + zucchini & bell peppers,322,"Plant-Based, Low Fat","chicken breast, oats, zucchini, bell peppers, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
231,shrimp + quinoa + broccoli & spinach,549,"Low Fat, Low Carb","shrimp, quinoa, broccoli, spinach, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
232,tofu + sweet potato + zucchini & bell peppers,334,"Plant-Based, High Protein","tofu, sweet potato, zucchini, bell peppers, olive oil, salt, pepper","Cook the tofu and sweet potato separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
233,eggs + quinoa + cauliflower & broccoli,506,"High Protein, Mediterranean","eggs, quinoa, cauliflower, broccoli, olive oil, salt, pepper","Cook the eggs and quinoa separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
234,turkey + oats + broccoli & kale,302,"Low Carb, Low Fat","turkey, oats, broccoli, kale, olive oil, salt, pepper","Cook the turkey and oats separately. Sauté the broccoli and kale. Combine all and season with olive oil, salt, and pepper."
